res_id,name,url,address,city,locality,cuisines,timings,highlights,aggregate_rating,votes,average_cost_for_one
1400134,Blue Dip - Golden Gate,https://www.zomato.com/indore/blue-dip-golden-gate-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2 AF, Scheme 54, Hotel Golden Gate, Vijay Nagar, Indore",Indore,"Golden Gate, Vijay Nagar","North Indian, Chinese",7 PM to 11:30 PM,"['Credit Card', 'Takeaway Available', 'Dinner', 'Air Conditioned', 'Fullbar', 'Indoor Seating']",2.9,18,600
18839866,Smaaash,https://www.zomato.com/indore/smaaash-south-tukoganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"170, 5th Floor, Treasure Island Next, RNT Marg, Near SSP Office, South Tukoganj, Indore",Indore,South Tukoganj,Finger Food,11 AM to 12 Midnight,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Nightlife', 'Digital Payments Accepted', 'Fullbar', 'Indoor Seating', 'Air Conditioned']",3.4,13,600
1402724,Chasers Pub & Restaurant,https://www.zomato.com/indore/chasers-pub-restaurant-1-rnt-marg?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"6th Floor, The Grace, Madhumilan Square, RNT Marg, Indore",Indore,RNT Marg,North Indian,12 Noon to 11 PM,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Pool Table', 'Indoor Seating', 'Fullbar', 'Air Conditioned']",2.8,14,600
1402567,Masala Craft - Regenta Central Hotel,https://www.zomato.com/indore/masala-craft-regenta-central-hotel-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Regenta Central Hotel, By Pass Road (North), Indore",Indore,"Regenta Central, By Pass North",North Indian,7 AM to 12 Midnight,"['Cash', 'Takeaway Available', 'Dinner', 'Breakfast', 'Lunch', 'Buffet', 'Air Conditioned', 'Wifi', 'Desserts and Bakes']",3.1,7,600
19150477,Fire & Smoke,https://www.zomato.com/indore/fire-smoke-by-pass-road-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Jhalaria Road, Near Shishukunj School, Nipania, By Pass Road (North), Indore",Indore,By Pass Road (North),North Indian,6 PM to 12 Midnight,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Table booking recommended', 'Buffet', 'Indoor Seating', 'Air Conditioned', 'Smoking Area']",0.0,0,600
1401305,Lal Balti Ki Kachori,https://www.zomato.com/indore/lal-balti-ki-kachori-jail-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ram Bagh, Near Bharat Gas Agency, Tilak Path, Indore",Indore,Jail Road,Street Food,"2 PM to 8 PM (Mon-Sat), Sun Closed","['Takeaway Available', 'Cash', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",4.0,452,25
1402121,Lal Balti Ki Kachori,https://www.zomato.com/indore/lal-balti-ki-kachori-rajendra-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"188-C, Near Jain Mandir, Rajendra Nagar, Indore",Indore,Rajendra Nagar,Street Food,4:30 PM to 9:30 PM,"['Cash', 'Takeaway Available', 'Outdoor Seating', 'Pure Veg']",3.8,51,25
19031567,Flavour Soda,https://www.zomato.com/indore/flavour-soda-new-palasia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 40, 56 Dukaan, New Palasia, Indore",Indore,"56 Dukan, New Palasia",Beverages,12 Noon to 12 Midnight,"['No Seating Available', 'Cash', 'Takeaway Available']",0.0,1,25
19031671,Santosh Paan,https://www.zomato.com/indore/santosh-paan-new-palasia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 53, 56 Dukaan, New Palasia, Indore",Indore,"56 Dukan, New Palasia",Paan,2 PM to 12 Midnight,"['No Seating Available', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",0.0,0,25
1400366,Vijay Chaat House,https://www.zomato.com/indore/vijay-chaat-house-sarafa-bazaar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"75/5, Bada Sarafa, Sarafa Bazaar, Indore",Indore,Sarafa Bazaar,Street Food,11AM to 8PM (Mon-Sun),"['Cash', 'Takeaway Available', 'Indoor Seating', 'Pure Veg']",4.4,613,50
